latitude,longitude,brightness,frp,confidence,daynight,acq_date,anio,mes,hora,cluster,riesgo
20.34228,-103.53588,333.48,4.65,n,N,2023-04-25,2023,4,7,0,Bajo
18.22958,-91.88335,333.65,4.96,n,D,2023-06-20,2023,6,19,1,Alto
20.57772,-101.17463,311.11,1.9,n,N,2023-08-30,2023,8,8,0,Bajo
19.03291,-98.65327,307.95,2.93,n,N,2024-10-26,2024,10,7,0,Bajo
16.72708,-94.60368,336.1,3.4,n,D,2024-04-09,2024,4,19,1,Alto
19.81453,-101.62566,343.0,4.36,n,D,2023-05-02,2023,5,20,1,Alto
21.08303,-104.49362,367.0,16.05,h,D,2023-05-26,2023,5,21,1,Alto
17.82043,-94.02142,306.58,2.06,n,N,2024-06-06,2024,6,6,0,Bajo
16.44764,-93.08669,346.17,6.06,n,D,2025-05-06,2025,5,18,1,Alto
26.52609,-102.99151,367.0,113.02,h,D,2023-06-28,2023,6,19,1,Alto
18.84211,-103.21013,299.87,3.24,n,N,2024-04-01,2024,4,9,0,Bajo
21.26918,-103.41019,355.11,15.41,n,D,2024-05-24,2024,5,20,1,Alto
19.67443,-103.3781,311.35,2.03,n,N,2023-03-14,2023,3,9,0,Bajo
18.57433,-91.21471,301.14,1.2,n,N,2024-02-10,2024,2,8,0,Bajo
22.68345,-104.91801,344.6,8.17,l,D,2025-03-30,2025,3,20,2,Medio
25.72348,-97.48,308.64,0.31,n,N,2025-07-18,2025,7,8,0,Bajo
19.57586,-104.79135,336.82,2.8,n,D,2023-05-07,2023,5,20,1,Alto
20.60157,-103.34416,299.29,0.78,n,N,2024-04-11,2024,4,7,0,Bajo
21.73143,-99.3388,338.75,6.5,n,D,2025-06-06,2025,6,20,1,Alto
18.44466,-91.43327,367.0,14.69,h,D,2024-05-24,2024,5,18,1,Alto
18.78677,-90.88556,343.26,9.42,n,D,2023-05-07,2023,5,20,1,Alto
19.44117,-98.40063,367.0,11.15,h,D,2024-03-26,2024,3,19,1,Alto
20.17748,-89.00513,341.51,6.73,n,D,2023-04-22,2023,4,18,1,Alto
19.14208,-102.08041,339.85,2.98,n,D,2023-05-22,2023,5,20,1,Alto
17.31557,-100.60696,351.45,29.4,n,D,2023-06-01,2023,6,20,1,Alto
16.20352,-95.17056,318.41,5.89,n,N,2025-06-09,2025,6,8,0,Bajo
20.30022,-99.92284,330.36,2.37,n,D,2025-12-28,2025,12,20,1,Alto
20.05009,-99.28886,320.79,1.96,n,N,2023-12-19,2023,12,8,0,Bajo
17.99379,-101.12854,300.68,0.47,n,N,2024-06-05,2024,6,8,0,Bajo
20.09982,-104.79356,305.07,3.03,n,N,2023-05-04,2023,5,8,0,Bajo
24.72482,-107.19188,345.56,7.53,l,D,2023-04-28,2023,4,19,2,Medio
16.95458,-95.40221,307.98,1.72,n,N,2024-06-07,2024,6,8,0,Bajo
21.5032,-104.75291,349.24,16.11,n,D,2025-05-03,2025,5,19,2,Medio
16.78708,-98.88023,336.38,4.01,n,D,2025-05-17,2025,5,20,1,Alto
18.62473,-92.5063,304.2,0.62,n,N,2025-12-18,2025,12,8,0,Bajo
16.20253,-95.17048,333.6,4.47,n,D,2023-10-12,2023,10,19,1,Alto
28.22309,-108.81919,367.0,28.68,h,D,2024-06-07,2024,6,21,1,Alto
18.40771,-96.21464,330.8,1.2,l,D,2025-03-18,2025,3,19,2,Medio
19.48506,-89.3273,304.17,0.83,n,N,2023-03-09,2023,3,7,0,Bajo
22.24358,-105.03947,303.86,1.07,n,N,2023-05-11,2023,5,7,0,Bajo
17.77459,-92.56912,345.4,4.33,n,N,2025-07-24,2025,7,7,1,Alto
20.32683,-88.72192,333.38,4.61,n,D,2023-05-03,2023,5,19,1,Alto
16.54578,-92.24141,314.26,2.81,n,N,2024-05-09,2024,5,7,0,Bajo
17.0258,-96.35113,353.62,18.41,n,D,2024-05-09,2024,5,20,1,Alto
16.17728,-93.48927,340.1,4.18,n,D,2024-04-01,2024,4,18,1,Alto
17.1069,-91.8102,334.7,2.83,n,D,2024-05-17,2024,5,19,1,Alto
23.63776,-105.94893,314.49,1.33,n,N,2024-04-28,2024,4,9,0,Bajo
19.36504,-88.85503,318.19,1.85,n,N,2025-06-01,2025,6,7,0,Bajo
18.64442,-92.17435,313.48,5.12,n,N,2024-05-18,2024,5,7,0,Bajo
20.57325,-101.17532,300.33,2.92,n,N,2025-08-31,2025,8,9,0,Bajo
19.78453,-103.1426,367.0,43.65,l,D,2023-05-16,2023,5,20,2,Medio
16.34258,-96.05189,334.04,9.89,n,D,2025-04-19,2025,4,19,1,Alto
20.40176,-89.2393,344.22,13.41,n,D,2023-06-18,2023,6,18,1,Alto
19.62202,-96.41729,352.25,17.05,n,D,2024-05-17,2024,5,19,1,Alto
21.86359,-98.85426,347.48,12.95,n,D,2025-03-08,2025,3,20,1,Alto
25.99866,-98.40913,334.93,6.77,n,D,2025-02-11,2025,2,20,2,Medio
25.61163,-100.86813,298.29,0.93,n,N,2025-04-07,2025,4,8,0,Bajo
17.87893,-92.48814,346.0,10.62,n,D,2025-05-14,2025,5,19,1,Alto
16.89426,-99.91089,353.43,6.05,n,D,2024-04-26,2024,4,19,1,Alto
21.83372,-105.2866,344.12,3.6,n,D,2025-04-24,2025,4,20,2,Medio
17.81455,-91.96079,341.07,5.43,n,D,2025-05-18,2025,5,20,1,Alto
18.16035,-101.82121,347.46,4.23,n,D,2024-05-09,2024,5,20,1,Alto
18.14635,-102.17111,336.2,3.72,l,D,2023-05-08,2023,5,19,2,Medio
20.05004,-99.29608,305.49,2.29,n,N,2023-01-05,2023,1,8,0,Bajo
18.22144,-93.89233,304.47,0.7,n,N,2025-03-05,2025,3,8,0,Bajo
18.9665,-103.87495,348.31,8.15,n,D,2024-11-07,2024,11,20,1,Alto
20.26308,-105.10917,367.0,9.25,h,D,2023-04-16,2023,4,20,1,Alto
22.25916,-99.39209,336.88,4.04,n,D,2024-03-23,2024,3,19,1,Alto
20.64199,-98.31507,344.05,5.37,n,D,2024-06-06,2024,6,19,1,Alto
27.18833,-107.95953,306.26,1.1,n,N,2024-05-23,2024,5,9,0,Bajo
22.28858,-105.15805,304.64,2.09,n,N,2025-05-16,2025,5,7,0,Bajo
20.20357,-105.05082,332.02,4.47,n,D,2024-06-14,2024,6,20,2,Medio
17.81333,-99.32134,349.08,4.74,n,D,2024-05-25,2024,5,20,1,Alto
17.07855,-91.84832,343.62,4.64,n,D,2024-05-16,2024,5,19,1,Alto
17.9012,-92.18121,341.9,4.03,l,D,2024-04-26,2024,4,19,2,Medio
20.57495,-101.17048,344.52,3.25,n,D,2024-02-06,2024,2,19,1,Alto
20.4244,-102.47716,318.28,3.48,n,N,2023-05-28,2023,5,9,0,Bajo
19.80227,-102.17417,299.62,0.62,n,N,2024-03-24,2024,3,8,0,Bajo
16.96266,-99.86523,344.99,6.79,n,D,2023-04-27,2023,4,20,1,Alto
